Molecule,Value_2024,2024Units,Average Price 2024,Value_2023,2023Units,Average Price 2023,Value_2022,2022Units,Average Price 2022,Value_2021,2021Units,Average Price 2021,Value_2020,2020Units,Average Price 2020,Comp,Private,Adjusted Price,Selling Price,Penetration Rate,Forecasted Units,Revenue,Profit,5-Year Profit,CAGR
PETHIDINE,3476753.0,90647.0,38.0,2580442.0,70225.0,37.0,2591141.0,69030.0,38.0,182640.0,4000.0,46.0,,,,1,0.583913209,27.33812949640288,10.935251798561152,0.08,7251.76,79299.82158273383,39649.910791366914,198249.55395683457,
PHASEOLUS VULGARIS,161553.0,1311.0,123.0,1709373.0,11596.0,147.0,203669.0,1688.0,121.0,196469.0,1651.0,119.0,131138.0,1102.0,119.0,2,1.0,88.48920863309353,35.39568345323741,0.08,104.88,3712.2992805755393,1856.1496402877697,9280.748201438848,5.352929858730038
PHELLODENDRON,2034696.0,17982.0,113.0,738084.0,2846.0,259.0,705130.0,3494.0,202.0,392514.0,874.0,449.0,283281.0,631.0,449.0,3,1.0,81.29496402877699,32.517985611510795,0.08,1438.56,46779.07338129497,23389.536690647485,116947.68345323742,63.70823307039129
PHENACETIN,,,,3630.0,726.0,5.0,16890.0,3378.0,5.0,12085.0,2417.0,5.0,18000.0,3600.0,5.0,1,,,,0.08,,,,,
PHENAZONE,3383488.0,211468.0,16.0,3308032.0,206752.0,16.0,588214.0,51004.0,12.0,945206.0,126027.0,8.0,1221889.0,162918.0,8.0,1,0.993668073,11.510791366906476,4.604316546762591,0.08,16917.44,77893.24892086332,38946.62446043166,194733.1223021583,28.998072581530977
PHENIRAMINE,3729816.0,240633.0,16.0,4347660.0,280494.0,16.0,4978001.0,321161.0,16.0,4998877.0,322508.0,16.0,4118725.0,265724.0,16.0,1,0.994618233,11.510791366906476,4.604316546762591,0.08,19250.64,88636.04028776979,44318.020143884896,221590.1007194245,-2.4491286573496307
PHENOBARBITAL,89063.0,9210.0,10.0,142610.0,5416.0,26.0,177955.0,675.0,264.0,148595.0,10118.0,15.0,100482.0,138.0,728.0,2,0.04450782,7.194244604316547,2.877697841726619,0.08,736.8000000000001,2120.287769784173,1060.1438848920866,5300.7194244604325,-2.970842088049286
PHENOL,17758.0,739.0,24.0,19362.0,2100.0,9.0,40173.0,1683.0,24.0,39697.0,1393.0,28.0,76934.0,2687.0,29.0,3,1.0,17.266187050359715,6.906474820143886,0.08,59.120000000000005,408.3107913669066,204.1553956834533,1020.7769784172665,-30.686323571816644
PHENYLACETIC ACID,73894.0,7.0,10556.0,126676.0,12.0,10556.0,105564.0,10.0,10556.0,253353.0,24.0,10556.0,,,,1,0.0,7819.259259259259,3127.703703703704,0.08,0.56,1751.5140740740744,875.7570370370372,4378.7851851851865,
PHENYLALANINE,5877735.0,76996.0,76.0,5449700.0,64906.0,84.0,6523302.0,72185.0,90.0,8326633.0,74744.0,111.0,6564123.0,61247.0,107.0,6,0.40463648,54.67625899280576,21.870503597122305,0.05,3849.8,84197.06474820145,42098.53237410072,210492.66187050362,-2.7234134205681215
